scenario,horizon_days,warmup_days,forecaster,reward_mode,ga_mode,replication,policy,total_cost,holding_cost,stockout_cost,ordering_cost,routing_cost,fill_rate,stockout_rate
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,19,STATIC,23184508.659516416,130653.87610959716,22996936.81093882,33014.57227135037,23903.40019664837,0.4380276777426788,0.6153846153846154
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,19,DYNAMIC,22022295.104683857,342548.30500168056,21602664.585705675,50531.5248458112,26550.6891306893,0.492708279275737,0.4871794871794871
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,19,DYN_FC,24623220.51150652,13811316.88897187,9585747.30627131,1039087.455964118,187068.8602992192,0.7617674204526775,0.2264957264957265
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,19,BASESTOCK,24986034.62022523,14146547.709298575,9585747.30627131,1061159.202993581,192580.4016617628,0.7617674204526775,0.2264957264957265
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,19,AI,11114898.897135472,1435481.85186501,9453190.36983738,189909.67796071336,36316.99747236841,0.7669529810529402,0.2222222222222222
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,20,STATIC,25291077.659841683,15585.909428459065,25218272.77961695,33355.92226725137,23863.04852902524,0.4348129125286379,0.5854700854700855
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,20,DYNAMIC,25400840.017904244,64374.234215255085,25259731.034458656,50055.20207864834,26679.5471516846,0.4972382400037956,0.5170940170940171
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,20,DYN_FC,24894097.25169275,13525018.897747586,10200399.541808896,994671.488019046,174007.3241172262,0.755204502521635,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,20,BASESTOCK,24231032.31654064,13532915.413340578,9532391.099647136,988410.8321719548,177314.97138097516,0.7598950834451926,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,20,AI,12715438.104631428,1658824.220137093,10845204.075456088,177249.03276333248,34160.776274913216,0.7351690502923262,0.2649572649572649
